url,post_id,description,create_time,digg_count,share_count,collect_count,comment_count,play_count,video_duration,hashtags,profile_username,profile_biography,profile_followers,is_verified,discovery_input.search_keyword,offical_item,original_item,music.authorname,music.original,music.title,region,timestamp,destination,description_clean,locations_mentioned,location_types_mentioned,classifiers_mentioned
https://www.tiktok.com/@lewismelo971/video/7653607360245681440,7653607360245681440,,2026-06-20 22:25:34+00:00,88900,11500.0,4118,971,662000,8.0,[],lewismelo971,"🎹Beatmaker & artiste from Guadeloupe 
🎶Label Elite Base
▪️Manager/ Booking @g6kcampbell
BODYCOUNT👇🏾",82600,False,#marrakechguide,False,False,Admiral T & Dcamp & Lewismelo,False,YOU AND ME,FR,2026-07-21 10:49:31.972000+00:00,marrakech,,[],[],[]
https://www.tiktok.com/@mansadamspvris/video/7639803760532802838,7639803760532802838,,2026-05-14 17:40:31+00:00,360,418.0,119,18,69700,10.0,[],Mansadams,"Night club 🇲🇦 🇪🇸 🇫🇷

Snap: damsopvris 👻",1141,False,#marrakechguide,False,False,Mansadams,True,son original,FR,2026-07-21 10:49:31.989000+00:00,marrakech,,[],[],[]
https://www.tiktok.com/@mei63135/video/7642449515810802966,7642449515810802966,"I went out for a simple walk in the mountains near Marrakech… and something unexpected happened. 🌄 I met a group of local boys who were incredibly warm and welcoming. Without hesitation, they started guiding me through the mountains like little explorers. They led me to a hidden spring, where I drank fresh mountain water, and kept walking with me as the sun slowly set over the hills. A beautiful encounter.#mountaintop #travelblogger #marrakeshtravel #morrocangirl #marrakesh ",2026-05-21 20:47:26+00:00,165,4.0,15,10,2387,43.0,"['mountaintop', 'travelblogger', 'marrakeshtravel', 'morrocangirl', 'marrakesh']",mei,Traveling the world with my workaholic boyfriend. Where do you wanna see us next? Comment or PM!,50,False,#marrakechguide,False,False,johnathonpork67,True,original sound,DE,2026-07-21 10:49:32.081000+00:00,marrakech,"i went out for a simple walk in the mountains near marrakech… and something unexpected happened. 🌄 i met a group of local boys who were incredibly warm and welcoming. without hesitation, they started guiding me through the mountains like little explorers. they led me to a hidden spring, where i drank fresh mountain water, and kept walking with me as the sun slowly set over the hills. a beautiful encounter.mountaintop travelblogger marrakeshtravel morrocangirl marrakesh",[],[],[]
https://www.tiktok.com/@ittybittyjb/video/7571548273811508494,7571548273811508494,"Here’s my costs breakdown & itinerary for my stay in Marrakech, Morocco 💰 #morocco #costsbreakdown #itinerary #traveltiktok #blacktravel ",2025-11-11 19:15:00+00:00,326,130.0,270,18,7254,59.0,"['morocco', 'costsbreakdown', 'itinerary', 'traveltiktok', 'blacktravel']",Jordan 💚✈️ | Solo Travel,| travel | atl📍Passport Princess,2434,False,#marrakechguide,False,False,Razeonx,False,Folded x Miss Independent,US,2026-07-21 10:49:32.195000+00:00,marrakech,"here’s my costs breakdown & itinerary for my stay in marrakech, morocco 💰 morocco costsbreakdown itinerary traveltiktok blacktravel",[],[],[]
https://www.tiktok.com/@passportpaulie/video/7638402850023918878,7638402850023918878,Yo #passportbros do not go to #marrakech #morocco #morocco🇲🇦 #digitalnomad ,2026-05-10 23:04:29+00:00,8199,1872.0,1887,126,202900,34.0,"['passportbros', 'marrakech', 'morocco', 'morocco🇲🇦', 'digitalnomad']",passportpaulie,"Helping men live the life of their dreams
By traveling or moving abroad
Reach out to see how I can help you  
👇👇👇👇",70900,False,#marrakechguide,False,False,passportpaulie,True,original sound,US,2026-07-21 10:49:32.613000+00:00,marrakech,yo passportbros do not go to marrakech morocco morocco🇲🇦 digitalnomad,[],[],[]
https://www.tiktok.com/@holidaygiantsofficial/video/7596265406160047382,7596265406160047382,"Morocco is unreal 🇲🇦✨ From desert sunsets to chaotic souks and ancient cities - these are the top things you NEED to experience at least once!  Make sure you save this for your trip! 📍 #morocco #desert #travel #africa #fyp 
Discover Morocco's vibrant culture and breathtaking landscapes. Explore top activities like camel treks, quad biking, and hot air balloon rides! #morocco #travel #africa
Morocco is a land of stunning contrasts, where desert sunsets meet vibrant souks and ancient cities. If you're planning a trip, here are the top experiences you need to include on your itinerary to make the most of your visit.

1. **Camel Trekking in Marrakesh** - One of the most iconic experiences in Morocco is riding a camel through the beautiful desert. Prepare for an unforgettable journey into the heart of the dunes, where the serenity of the landscape will take your breath away.

2. **Quad Biking in the Merzouga Desert** - For the adventure seekers, quad biking offers an exhilarating way to explore the vastness of the Merzouga Desert. Feel the wind on your face as you race across the golden sands and take in the amazing views around you.

3. **Hot Air Balloon Ride in Marrakesh** - Experience Morocco from a different angle with a hot air balloon ride. Gliding high above the landscape at sunrise provides stunning views of the Atlas Mountains and the lush valleys below.

4. **Visit the Ozoud Waterfalls** - This breathtaking natural wonder is not to be missed. Enjoy a day out where you can hike around the falls, take photos of the stunning scenery, and even swim in the natural pools.

5. **Explore the Atlas Mountains** - The Atlas Mountains offer dramatic scenery and a chance to experience traditional Berber culture. Several trekking tours are available, allowing you to discover hidden villages and enjoy panoramic views.

6. **Agafay Desert Fire Show** - For an extraordinary evening, be sure to check out the fire show in the Agafay desert. With a backdrop of starry skies, the performance adds magic to your Moroccan adventure.

Morocco is full of unforgettable experiences that will leave you with memories to cherish for a lifetime. Make sure to save these activities for your trip to truly immerse yourself in the rich culture and natural beauty of this remarkable country. Follow for more travel insights and tips!",2026-01-17 09:49:32+00:00,1460,1084.0,1290,13,75500,26.0,"['morocco', 'desert', 'travel', 'africa', 'fyp']",HolidayGiants,"🏖️ Fe-fi-fo-found... your next holiday! ✈️
☀️ Travel Tips & News 🌴
📧: info@holidaygiants.com
👇 GIANT Deals 👇",19200,False,#marrakechguide,False,False,Sofía Brandariz Aldasoro,True,sonido original,GB,2026-07-21 10:49:32.647000+00:00,marrakech,"morocco is unreal 🇲🇦✨ from desert sunsets to chaotic souks and ancient cities - these are the top things you need to experience at least once!  make sure you save this for your trip! 📍 morocco desert travel africa fyp  discover morocco's vibrant culture and breathtaking landscapes. explore top activities like camel treks, quad biking, and hot air balloon rides! morocco travel africa morocco is a land of stunning contrasts, where desert sunsets meet vibrant souks and ancient cities. if you're planning a trip, here are the top experiences you need to include on your itinerary to make the most of your visit.  1. **camel trekking in marrakesh** - one of the most iconic experiences in morocco is riding a camel through the beautiful desert. prepare for an unforgettable journey into the heart of the dunes, where the serenity of the landscape will take your breath away.  2. **quad biking in the merzouga desert** - for the adventure seekers, quad biking offers an exhilarating way to explore the vastness of the merzouga desert. feel the wind on your face as you race across the golden sands and take in the amazing views around you.  3. **hot air balloon ride in marrakesh** - experience morocco from a different angle with a hot air balloon ride. gliding high above the landscape at sunrise provides stunning views of the atlas mountains and the lush valleys below.  4. **visit the ozoud waterfalls** - this breathtaking natural wonder is not to be missed. enjoy a day out where you can hike around the falls, take photos of the stunning scenery, and even swim in the natural pools.  5. **explore the atlas mountains** - the atlas mountains offer dramatic scenery and a chance to experience traditional berber culture. several trekking tours are available, allowing you to discover hidden villages and enjoy panoramic views.  6. **agafay desert fire show** - for an extraordinary evening, be sure to check out the fire show in the agafay desert. with a backdrop of starry skies, the performance adds magic to your moroccan adventure.  morocco is full of unforgettable experiences that will leave you with memories to cherish for a lifetime. make sure to save these activities for your trip to truly immerse yourself in the rich culture and natural beauty of this remarkable country. follow for more travel insights and tips!","['Souk Semmarine', 'Agafay Desert']","['market', 'desert']","['culture', 'nature_outdoors', 'shopping', 'food_drink', 'adventure_activities']"
https://www.tiktok.com/@safranbykoya/video/7647945199485848845,7647945199485848845,For reservations link in bio 🔥 #safranbykoya #safranmarrakech #restaurantmarrakech #marrakech #fyp ,2026-06-05 16:13:56+00:00,11800,1374.0,1906,159,330100,20.0,"['safranbykoya', 'safranmarrakech', 'restaurantmarrakech', 'marrakech', 'fyp']",Safran Marrakech,"Drinks, Food & much more…✨
Moroccan • Mediterranean cuisine
5pm to 2am",406600,False,#marrakechguide,False,False,Safran Marrakech,True,original sound,MA,2026-07-21 10:49:32.657000+00:00,marrakech,for reservations link in bio 🔥 safranbykoya safranmarrakech restaurantmarrakech marrakech fyp,[],[],[]
https://www.tiktok.com/@diln_/video/7633025986216463649,7633025986216463649,"Everything I bought in marrakesh ❤️ #marrakesh#haul#souk#morocco 
Discover everything I bought during my trip to Marrakesh! From the vibrant souks to unique finds, explore this Marrakesh haul. #marrakesh #haul #souk #morocco
Discover the treasures found in the bustling souks of Marrakesh. This haul showcases a variety of items purchased during a memorable trip to Morocco.

The vibrant markets of Marrakesh offer a unique shopping experience, filled with a diverse array of goods. From handcrafted items to local specialties, the souks are a treasure trove for shoppers.

Exploring the narrow alleyways and lively stalls, a collection of items was acquired, reflecting the rich culture and craftsmanship of Morocco.

This haul represents the essence of Marrakesh shopping, offering a glimpse into the beautiful products available in its famous souks. 

#marrakesh #haul #souk #morocco",2026-04-26 11:19:20+00:00,1778,65.0,308,7,33500,12.0,"['marrakesh', 'haul', 'souk', 'morocco']",DILAN,"DILO 🧿
Instagram: @diln_
dilan@sesamyagency.com",59000,False,#marrakechguide,False,False,D33pSoul,False,Marrakech,DE,2026-07-21 10:49:32.687000+00:00,marrakech,"everything i bought in marrakesh ❤️ marrakeshhaulsoukmorocco  discover everything i bought during my trip to marrakesh! from the vibrant souks to unique finds, explore this marrakesh haul. marrakesh haul souk morocco discover the treasures found in the bustling souks of marrakesh. this haul showcases a variety of items purchased during a memorable trip to morocco.  the vibrant markets of marrakesh offer a unique shopping experience, filled with a diverse array of goods. from handcrafted items to local specialties, the souks are a treasure trove for shoppers.  exploring the narrow alleyways and lively stalls, a collection of items was acquired, reflecting the rich culture and craftsmanship of morocco.  this haul represents the essence of marrakesh shopping, offering a glimpse into the beautiful products available in its famous souks.   marrakesh haul souk morocco",['Souk Semmarine'],['market'],"['culture', 'food_drink', 'shopping']"
https://www.tiktok.com/@tarik_belasri/video/7613836402429644052,7613836402429644052,"Languages spoken in Morocco. 🇲🇦  #marrakech #tarik_belasri #tourguide #morocco #guidedtour 
Explore the fascinating languages of Morocco and their impact on culture. Discover the richness of Moroccan linguistic diversity! #marrakech #tarik_belasri #tourguide #morocco #guidedtour
Morocco is a country renowned for its rich cultural heritage and linguistic diversity. The primary languages spoken in Morocco are Arabic and Berber, with French also widely used in various sectors, including education, business, and government. 

The Arabic dialect spoken in Morocco, known as Moroccan Arabic or Darija, is distinct from Modern Standard Arabic, which is used in formal communication. Darija incorporates elements from Amazigh, Spanish, and French, reflecting the country’s historical influences. 

Berber, recognized as an official language of the country, includes several dialects, such as Tamazight and Tachelhit. These languages carry deep cultural significance and express the identity of the Berber people, who are indigenous to North Africa. 

French has a significant presence in urban areas and is often associated with the educational system and higher education institutions. Its use showcases Morocco's historical connection with France and facilitates communication in various professional fields.

In addition to these major languages, you can encounter various regional dialects and languages, such as Spanish in the northern regions, reflecting Morocco's diverse historical ties.  

Understanding the languages of Morocco enriches your experience as a traveler. It allows you to connect deeper with the local culture and communities, enhancing your guided tours and interactions. Engaging with locals in their native languages can lead to more meaningful conversations and a greater appreciation of Morocco's vibrant identity. 

Discovering the linguistic diversity is an essential part of any visit to Morocco, where each language tells a story and plays a role in the rich tapestry of Moroccan culture. Consider joining guided tours that highlight not only the sights but also the sounds and stories of this linguistically rich nation.",2026-03-05 18:14:15+00:00,32200,2870.0,6202,1040,455000,158.0,"['marrakech', 'tarik_belasri', 'tourguide', 'morocco', 'guidedtour']",Tarik Belasri,"Proud Tour Guide & Photographer in Morocco 🇲🇦
👇 Book my expertise here 📸",142200,False,#marrakechguide,False,False,Tarik Belasri,True,original sound,MA,2026-07-21 10:49:32.718000+00:00,marrakech,"languages spoken in morocco. 🇲🇦  marrakech tarik_belasri tourguide morocco guidedtour  explore the fascinating languages of morocco and their impact on culture. discover the richness of moroccan linguistic diversity! marrakech tarik_belasri tourguide morocco guidedtour morocco is a country renowned for its rich cultural heritage and linguistic diversity. the primary languages spoken in morocco are arabic and berber, with french also widely used in various sectors, including education, business, and government.   the arabic dialect spoken in morocco, known as moroccan arabic or darija, is distinct from modern standard arabic, which is used in formal communication. darija incorporates elements from amazigh, spanish, and french, reflecting the country’s historical influences.   berber, recognized as an official language of the country, includes several dialects, such as tamazight and tachelhit. these languages carry deep cultural significance and express the identity of the berber people, who are indigenous to north africa.   french has a significant presence in urban areas and is often associated with the educational system and higher education institutions. its use showcases morocco's historical connection with france and facilitates communication in various professional fields.  in addition to these major languages, you can encounter various regional dialects and languages, such as spanish in the northern regions, reflecting morocco's diverse historical ties.    understanding the languages of morocco enriches your experience as a traveler. it allows you to connect deeper with the local culture and communities, enhancing your guided tours and interactions. engaging with locals in their native languages can lead to more meaningful conversations and a greater appreciation of morocco's vibrant identity.   discovering the linguistic diversity is an essential part of any visit to morocco, where each language tells a story and plays a role in the rich tapestry of moroccan culture. consider joining guided tours that highlight not only the sights but also the sounds and stories of this linguistically rich nation.",[],[],[]
https://www.tiktok.com/@tarik_belasri/video/7626477123200486676,7626477123200486676,You would never guess the fancy esthetics hidden behind the simplicity of the Moroccan exterior houses. #marrakech #riads #tourguide #morocco #guidedtour ,2026-04-08 19:46:26+00:00,18700,2063.0,3395,331,328400,88.0,"['marrakech', 'riads', 'tourguide', 'morocco', 'guidedtour']",Tarik Belasri,"Proud Tour Guide & Photographer in Morocco 🇲🇦
👇 Book my expertise here 📸",142200,False,#marrakechguide,False,False,Tarik Belasri,True,original sound,MA,2026-07-21 10:49:32.719000+00:00,marrakech,you would never guess the fancy esthetics hidden behind the simplicity of the moroccan exterior houses. marrakech riads tourguide morocco guidedtour,[],[],[]
